#Npore	fugacity[kPa]	chempot[K]
        390.68	        23.696	       -946.06
        391.75	        23.819	       -945.61
        392.84	        23.942	       -945.16
        393.95	        24.066	       -944.71
        395.09	         24.19	       -944.26
        396.32	        24.315	       -943.81
        397.85	        24.441	       -943.36
         400.5	        24.568	       -942.91
        407.55	        24.695	       -942.46
         430.2	        24.822	       -942.01
        487.51	        24.945	       -941.58
        549.56	        25.031	       -941.28
        607.04	        25.118	       -940.98
         643.7	        25.206	       -940.67
        661.89	        25.293	       -940.37
        669.86	        25.381	       -940.07
        673.22	         25.47	       -939.76
        674.66	        25.558	       -939.46
        675.34	        25.647	       -939.16
        675.71	        25.736	       -938.85
        675.97	        25.826	       -938.55
        676.17	        25.916	       -938.25
        676.36	        26.006	       -937.95
        676.53	        26.096	       -937.64
        676.71	        26.187	       -937.34
        676.88	        26.278	       -937.04
        677.05	        26.369	       -936.73
        677.22	        26.461	       -936.43
        677.39	        26.553	       -936.13
        677.55	        26.645	       -935.82
        677.72	        26.738	       -935.52
        677.89	        26.831	       -935.22
        678.05	        26.924	       -934.91
        678.22	        27.018	       -934.61
        678.38	        27.112	       -934.31
        678.52	        27.191	       -934.05
        678.63	        27.255	       -933.85
        678.74	        27.319	       -933.64
        678.85	        27.383	       -933.44
        678.96	        27.448	       -933.23
        679.07	        27.512	       -933.03
        679.17	        27.577	       -932.82
        679.28	        27.642	       -932.62
        679.39	        27.707	       -932.41
         679.5	        27.772	       -932.21
         679.6	        27.837	          -932
        679.71	        27.902	        -931.8
        679.82	        27.968	       -931.59
        679.92	        28.034	       -931.39
        680.03	          28.1	       -931.18
        680.13	        28.166	       -930.98
        680.24	        28.232	       -930.77
        680.34	        28.298	       -930.57
        680.45	        28.365	       -930.36
        680.55	        28.431	       -930.16
        680.65	        28.498	       -929.95
        680.76	        28.565	       -929.75
        680.86	        28.632	       -929.54
        680.96	          28.7	       -929.34
        681.06	        28.767	       -929.13
        681.17	        28.835	       -928.93
        681.27	        28.904	       -928.72
        681.37	        28.974	       -928.51
        681.48	        29.044	        -928.3
        681.58	        29.115	       -928.09
        681.68	        29.185	       -927.88
        681.78	        29.256	       -927.66
        681.89	        29.326	       -927.45
        681.99	        29.397	       -927.24
        682.09	        29.469	       -927.03
        682.19	         29.54	       -926.82
        682.29	        29.611	       -926.61
        682.39	        29.683	        -926.4
        682.49	        29.755	       -926.19
        682.59	        29.827	       -925.98
        682.69	        29.899	       -925.77
        682.79	        29.972	       -925.55
        682.89	        30.044	       -925.34
        682.98	        30.117	       -925.13
        683.08	         30.19	       -924.92
        683.18	        30.263	       -924.71
        683.27	        30.336	        -924.5
        683.37	        30.409	       -924.29
        683.44	        30.464	       -924.13
        683.48	        30.494	       -924.05
        683.52	        30.523	       -923.96
        683.56	        30.553	       -923.88
         683.6	        30.582	       -923.79
        683.63	        30.612	       -923.71
        683.67	        30.641	       -923.62
        683.71	        30.671	       -923.54
        683.75	        30.701	       -923.46
        683.79	        30.731	       -923.37
        683.82	         30.76	       -923.29
        683.86	         30.79	        -923.2
         683.9	         30.82	       -923.12
        683.94	         30.85	       -923.03
        683.97	         30.88	       -922.95
        684.01	        30.909	       -922.86
        684.05	        30.939	       -922.78
        684.09	        30.969	        -922.7
        684.12	        30.999	       -922.61
        684.16	        31.029	       -922.53
         684.2	        31.059	       -922.44
        684.24	        31.089	       -922.36
        684.27	        31.119	       -922.27
        684.31	        31.149	       -922.19
        684.35	        31.185	       -922.09
         684.4	         31.22	       -921.99
        684.44	        31.256	       -921.89
        684.48	        31.291	       -921.79
        684.53	        31.327	       -921.69
        684.57	        31.363	       -921.59
        684.61	        31.398	       -921.49
        684.66	        31.434	        -921.4
        684.68	        31.457	       -921.33
         684.7	        31.472	       -921.29
        684.72	        31.487	       -921.25
        684.74	        31.502	       -921.21
        684.76	        31.517	       -921.17
        684.77	        31.532	       -921.12
        684.79	        31.547	       -921.08
        684.81	        31.562	       -921.04
        684.83	        31.577	          -921
        684.85	        31.592	       -920.96
        684.84	        31.591	       -920.96
        684.84	        31.587	       -920.97
        684.84	        31.584	       -920.98
        684.83	        31.581	       -920.99
        684.83	        31.578	          -921
        684.82	        31.574	       -921.01
        684.82	        31.571	       -921.02
        684.82	        31.568	       -921.02
        684.81	        31.565	       -921.03
        684.81	        31.561	       -921.04
        684.77	        31.533	       -921.12
        684.73	        31.497	       -921.22
        684.69	        31.462	       -921.32
        684.65	        31.427	       -921.42
         684.6	        31.391	       -921.51
        684.56	        31.356	       -921.61
        684.52	        31.321	       -921.71
        684.48	        31.285	       -921.81
        684.43	         31.25	       -921.91
        684.39	        31.215	       -922.01
        684.35	         31.18	        -922.1
        684.27	        31.117	       -922.28
        684.18	        31.047	       -922.48
         684.1	        30.977	       -922.67
        684.01	        30.908	       -922.87
        683.92	        30.838	       -923.07
        683.83	        30.769	       -923.26
        683.75	          30.7	       -923.46
        683.66	        30.631	       -923.65
        683.57	        30.562	       -923.85
        683.48	        30.494	       -924.05
        683.39	        30.425	       -924.24
         683.3	        30.357	       -924.44
        683.11	        30.213	       -924.85
        682.88	        30.042	       -925.35
        682.65	        29.871	       -925.85
        682.42	        29.702	       -926.34
        682.18	        29.534	       -926.84
        681.94	        29.366	       -927.34
         681.7	          29.2	       -927.83
        681.46	        29.034	       -928.33
        681.22	         28.87	       -928.82
        680.97	        28.706	       -929.32
        680.72	        28.543	       -929.82
        680.47	        28.381	       -930.31
        680.22	        28.221	       -930.81
        679.97	        28.061	       -931.31
        679.71	        27.902	        -931.8
        679.45	        27.743	        -932.3
        679.18	         27.58	       -932.81
        678.83	        27.373	       -933.47
        678.48	        27.169	       -934.13
        678.13	        26.966	       -934.78
        677.77	        26.764	       -935.44
        677.41	        26.564	       -936.09
        677.04	        26.365	       -936.75
        676.67	        26.168	        -937.4
        676.29	        25.973	       -938.06
        675.84	        25.778	       -938.71
        674.92	        25.586	       -939.37
        670.55	        25.394	       -940.02
         643.3	        25.204	       -940.68
        538.18	        25.016	       -941.33
         432.2	        24.829	       -941.99
        403.74	        24.643	       -942.64
        398.12	        24.459	        -943.3
        395.92	        24.276	       -943.95
        394.21	        24.095	       -944.61
        392.64	         23.92	       -945.24
        391.18	        23.754	       -945.85
        389.75	        23.589	       -946.46
        388.36	        23.425	       -947.07
        386.99	        23.263	       -947.68
        385.65	        23.101	       -948.28
        384.34	        22.941	       -948.89
        383.05	        22.782	        -949.5
        381.78	        22.624	       -950.11
        380.54	        22.467	       -950.71
        379.33	        22.311	       -951.32
        378.13	        22.156	       -951.93
        376.96	        22.002	       -952.54
        375.81	         21.85	       -953.15
        374.67	        21.698	       -953.75
        373.56	        21.547	       -954.36
         372.3	        21.376	       -955.06
        370.64	        21.148	          -956
        369.03	        20.922	       -956.93
        367.45	        20.699	       -957.87
        365.91	        20.478	       -958.81
        364.39	        20.259	       -959.74
        362.91	        20.043	       -960.68
        361.46	        19.829	       -961.62
        360.03	        19.618	       -962.55
        358.63	        19.408	       -963.49
        357.25	        19.201	       -964.43
        355.89	        18.996	       -965.36
        354.56	        18.793	        -966.3
        353.25	        18.593	       -967.24
