#fugacity[kPa]	canonical_work_function
        27.7065	       -1294.03
        27.7717	       -1295.04
         27.837	       -1296.06
        27.9024	       -1297.08
         27.968	       -1298.11
        28.0337	       -1299.13
        28.0996	       -1300.16
        28.1657	       -1301.19
        28.2319	       -1302.23
        28.2982	       -1303.26
        28.3647	        -1304.3
        28.4314	       -1305.34
        28.4983	       -1306.38
        28.5652	       -1307.43
        28.6324	       -1308.47
        28.6997	       -1309.52
        28.7671	       -1310.57
        28.8348	       -1311.63
        28.9042	       -1312.71
        28.9741	        -1313.8
        29.0442	       -1314.89
        29.1145	       -1315.99
         29.185	       -1317.09
        29.2557	       -1318.19
        29.3265	       -1319.29
        29.3975	       -1320.39
        29.4686	        -1321.5
        29.5399	       -1322.61
        29.6114	       -1323.72
        29.6831	       -1324.84
         29.755	       -1325.95
         29.827	       -1327.07
        29.8992	       -1328.19
        29.9715	       -1329.32
        30.0441	       -1330.44
        30.1168	       -1331.57
        30.1897	       -1332.71
        30.2628	       -1333.84
         30.336	       -1334.98
        30.4095	       -1336.11
        30.4642	       -1336.96
        30.4937	       -1337.42
        30.5232	       -1337.88
        30.5527	       -1338.34
        30.5823	        -1338.8
        30.6119	       -1339.26
        30.6415	       -1339.72
        30.6711	       -1340.19
        30.7008	       -1340.65
        30.7305	       -1341.11
        30.7603	       -1341.58
          30.79	       -1342.05
        30.8198	       -1342.52
        30.8497	       -1342.99
        30.8795	       -1343.46
        30.9094	       -1343.93
        30.9393	        -1344.4
        30.9692	       -1344.87
        30.9992	       -1345.35
        31.0292	       -1345.82
        31.0592	        -1346.3
        31.0893	       -1346.77
        31.1194	       -1347.25
        31.1495	       -1347.73
        31.1848	       -1348.29
        31.2202	       -1348.86
        31.2558	       -1349.42
        31.2913	       -1349.99
        31.3269	       -1350.56
        31.3626	       -1351.13
        31.3983	        -1351.7
         31.434	       -1352.27
        31.4568	       -1352.64
        31.4718	       -1352.88
        31.4868	       -1353.12
        31.5019	       -1353.36
         31.517	        -1353.6
         31.532	       -1353.85
        31.5471	       -1354.09
        31.5622	       -1354.34
        31.5772	       -1354.58
